Serial Number of system during year,Basin of origin,Name,Date(DD/MM/YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),,,,,,,,,,,,,,,,,,,
1,BOB,,02-04-2021,0000,11.0,96.3,1.5,1000,25,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,11.0,96.3,1.5,1000,25,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,11.2,96.4,1.5,1000,25,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,11.8,96.8,1.5,1000,25,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,12.3,97.2,1.5,1000,25,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,03-04-2021,0000,13.0,97.5,1.5,1002,25,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,13.2,97.6,1.5,1004,20,2,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,Weakened into a Well-Marked Low Pressure Area over north Andaman and adjoining south Myanmar coast,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AS,Tauktae,14-05-2021,0300,10.5,72.3,1.5,997,25,3,D,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0600,11.0,72.5,1.5,996,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0900,11.5,72.5,2.0,995,30,5,D,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1200,11.6,72.6,2.0,995,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1800,12.2,72.6,2.5,993,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,2100,12.2,72.6,2.5,992,40,8,CS,,,,,,,,,,,,,,,,,,,,,
