Serial Number of system during year,Basin of origin,Name,Date(DD/MM/YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),,,,,,,,,,,,,,,,,,,
,AS,Tauktae,15-05-2021,0000,12.7,72.5,2.5,992,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0300,12.8,72.5,2.5,992,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0600,13.2,72.6,3.0,990,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0900,13.5,72.7,3.0,990,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1200,13.8,72.7,3.5,985,55,15,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1500,14.2,72.7,3.5,984,55,16,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1800,14.5,72.6,3.5,982,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,2100,14.7,72.7,3.5,982,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,16-05-2021,0000,15.0,72.7,4.0,979,65,21,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0300,15.3,72.7,4.0,976,70,24,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0600,15.7,72.7,4.0,976,70,24,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0900,16.2,72.6,4.0,976,70,24,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1200,16.7,72.5,4.5,972,75,28,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1500,17.2,72.3,4.5,968,80,32,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1800,17.5,72.0,4.5,964,85,36,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,2100,18.0,71.7,5.0,960,90,40,ESCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,17-05-2021,0000,18.5,71.5,5.5,950,100,50,ESCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0300,18.8,71.5,5.5,950,100,50,ESCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0600,19.2,71.4,5.5,950,100,50,ESCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0900,19.6,71.4,5.5,950,100,50,ESCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1200,20.1,71.3,5.0,955,95,45,ESCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1500,20.5,71.2,5.0,960,90,40,ESCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,"Crossed Saurashtra coast about 20 km northeast of Diu, near Lat.20.8°N and Long. 71.1°E during 1530-1730 UTC of 17th May 2021 with maximum sustained wind speed of 90 knots gusting to 100 knots. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1800,20.9,71.1,-,964,85,36,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,2100,21.3,71.2,-,972,75,28,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,18-05-2021,0000,21.5,71.2,-,978,65,22,VSCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0300,21.6,71.3,-,984,55,16,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0600,22.0,71.5,-,990,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0900,22.5,71.8,-,992,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1200,23.1,72.3,-,993,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1500,23.6,72.6,-,994,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1800,24.1,73.0,-,995,30,5,DD,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,19-05-2021,0000,24.5,73.3,-,996,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0300,24.9,73.7,-,997,20,3,D,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,0600,25.8,74.8,-,997,20,3,D,,,,,,,,,,,,,,,,,,,,,
,AS,Tauktae,,1200,Weakened into a Well-Marked Low Pressure Area over Northeast Rajasthan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BOB,YAAS,23-05-2021,0600,16.1,90.2,1.5,996,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1200,16.2,89.9,1.5,994,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1800,16.3,89.7,2.0,992,30,5,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,24-05-2021,0000,16.3,89.7,2.5,990,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0300,16.5,89.6,2.5,988,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0600,16.4,89.6,2.5,988,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0900,16.8,89.5,2.5,988,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1200,17.1,89.3,3.0,986,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1500,17.4,89.2,3.0,986,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1800,17.6,89.0,3.0,984,50,12,SCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,2100,17.8,88.9,3.5,982,55,14,SCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,25-05-2021,0000,18.0,88.6,3.5,980,55,16,SCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0300,18.3,88.3,3.5,980,55,16,SCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0600,18.7,88.0,3.5,978,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0900,19.1,88.1,3.5,978,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1200,19.5,88.0,4.0,976,65,20,VSCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1500,19.8,87.9,4.0,976,65,20,VSCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1800,20.1,87.8,4.0,974,70,24,VSCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,2100,20.4,87.6,4.0,970,75,28,VSCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,26-05-2021,0000,20.8,87.3,4.0,970,75,28,VSCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0300,21.2,87.1,4.0,970,75,28,VSCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,"Crossed north Odisha coast near Latitude 21.35°N and Longitude 86.95°E, about 20 km to the south of Balasore as a VSCS with maximum sustained wind speed of 75 knots gusting to 85 knots (130 -140 kmph gusting to 155 kmph) between 0500 & 0600 UTC ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0600,21.4,86.9,-,970,75,28,VSCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0900,21.6,86.7,-,978,55,16,SCS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1200,21.8,86.6,-,984,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1500,22.2,86.2,-,986,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1800,22.5,86.0,-,988,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,27-05-2021,0000,22.8,85.8,-,988,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0300,23.1,85.7,-,990,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,0600,23.5,85.6,-,991,25,5,D,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1200,24.3,85.3,-,992,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,,1800,24.7,84.8,-,992,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,YAAS,28-05-2021,0000,Weakened into a well marked low pressure area over Bihar and adjoining east Uttar Pradesh,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BOB,,12-09-2021,1200,20.3,87.4,1.5,992,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,20.4,87.1,1.5,992,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,13-09-2021,0000,20.6,87.0,2.0,990,30,4,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,20.9,86.5,2.0,990,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,,,"Crossed north Odisha coast, close to south of Chandbali between 0530 & 0630 hrs IST as a Deep Depression with maximum sustained wind speed of 30 knots",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,21.1,86.2,-,990,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,21.4,85.5,-,990,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,21.6,84.8,-,990,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,,14-09-2021,0000,22.0,83.6,-,990,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,22.1,83.4,-,990,25,5,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,22.4,83.0,-,990,25,5,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,22.7,82.5,-,996,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,23.0,82.0,,996,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0000,Weakened into a well marked low pressure area over northeast Madhya Pradesh & neighbourhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BOB,GULAB,24-09-2021,1200,18.3,91.2,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1800,18.4,90.4,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,25-09-2021,0000,18.4,89.7,2.0,999,30,5,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0300,18.4,89.3,2.0,998,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0600,18.4,88.7,2.0,998,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1200,18.3,88.3,2.5,997,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1500,18.3,88.1,2.5,997,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1800,18.3,87.9,2.5,996,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,2100,18.3,87.6,2.5,996,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB, 26-09-2021,0000,18.3,87.3,2.5,994,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0300,18.4,86.4,2.5,994,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0600,18.4,85.9,3.0,992,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0900,18.4,85.3,3.0,992,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1200,18.4,84.6,3.0,992,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,"Crossed north Andhra Pradesh – south Odisha coasts near latitude 18.40 N and longitude 84.20 E, about 20 km north of Kalingapatnam with a maximum sustained wind speed of 75-85 kmph gusting to 95 kmph during 1930 & 2030 hrs IST (1400-1500 UTC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1500,18.3,83.8,-,992,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1800,18.4,83.4,-,994,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,2100,18.4,83.0,-,996,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,27-09-2021,0000,18.4,82.8,-,996,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0300,18.4,82.5,-,996,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0600,18.5,82.0,-,996,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1200,18.6,80.1,-,998,25,4,      D,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,1800,18.7,79.4,-,998,25,4,      D,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,28-09-2021,0000,19.0,78.2,-,998,25,4,      D,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0300,19.4,77.3,-,999,20,3,      D,,,,,,,,,,,,,,,,,,,,,
,BOB,GULAB,,0600,Weakened into a well marked low pressure area over western parts of Vidarbha and neighbourhood,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AS,SHAHEEN,30-09-2021,0000,22.7,69.5,1.5,998,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0300,22.7,68.6,1.5,998,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0600,22.8,68.2,1.5,998,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1200,23.1,67.4,1.5,998,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1800,23.1,66.8,2.0,996,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,01-10-2021,0000,23.2,65.5,2.5,995,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0300,23.2,64.9,2.5,994,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0600,23.2,64.5,3.0,992,45,10,CS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0900,23.3,64.1,3.0,991,45,11,CS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1200,23.4,63.7,3.5,987,55,15,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1500,23.6,63.4,3.5,986,55,16,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1800,23.6,63.2,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,2100,23.8,62.8,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,02-10-2021,0000,23.8,62.4,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0300,23.9,62.1,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0600,24.1,61.8,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0900,24.3,61.3,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1200,24.5,60.7,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1500,24.5,60.4,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1800,24.4,60.0,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,2100,24.4,59.7,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,03-10-2021,0000,24.3,59.5,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0300,24.2,59.0,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0600,24.1,58.6,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0900,24.1,58.3,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1200,24.0,58.0,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1500,24.0,57.7,3.5,984,60,18,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1800,23.9,57.3,3.5,986,55,16,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,"Crossed Oman coast during 1900 to 2000 UTC of 3rd October, near latitude 23.9°N and longitude 57.3°E, about 120 km west-northwest of Muscat as a severe cyclonic storm with a maximum sustained wind speed of 95-105 kmph gusting to 115 kmph.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,2100,23.8,57.2,-,988,55,14,SCS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,04-10-2021,0000,23.7,56.8,-,994,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0300,23.5,56.4,-,998,30,5,DD,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,0600,23.3,56.0,-,1000,20,3,D,,,,,,,,,,,,,,,,,,,,,
,AS,SHAHEEN,,1200,Weakened into a well-marked low pressure area over north Oman and adjoining United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AS,,07-10-2021,0300,14.0,67.5,1.5,1002,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,,,0600,14.2,67.2,1.5,1002,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,,,1200,14.3,67.0,1.5,1002,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,,,1800,14.5,66.8,1.5,1002,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,,08-10-2021,0000,14.6,66.6,1.5,1002,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,,,0300,14.7,66.4,1.5,1002,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,,,0600,14.7,66.2,1.5,1002,25,4,D,,,,,,,,,,,,,,,,,,,,,
,AS,,,1200,14.6,65.9,1.5,1003,25,3,D,,,,,,,,,,,,,,,,,,,,,
,AS,,,1800,14.5,65.8,1.5,1003,25,3,D,,,,,,,,,,,,,,,,,,,,,
,AS,,09-10-2021,0000,Depression weakened into a Well Marked Low pressure Area over central parts of Arabian Sea,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BOB,,10-11-2021,1200,10.6,83.4,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,11.3,82.3,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,11-11-2021,0000,12.0,81.5,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,12.3,81.2,1.5,1000,25,4,D,,,  ,,,,,,,,,,,,,,,,,,
,BOB,,,0600,12.6,80.8,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,12.9,80.3,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,"Crossed north Tamil Nadu & adjoining south Andhra Pradesh coasts close to Chennai, near Lat. 12.95°N and Long. 80.25°E during 1730 and 1830 hrs IST with a maximum sustained wind speed of 45 – 55 kmph gusting to 65 kmph.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,13.1,79.8,1.5,1000,20,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,12-11-2021,0000,Depression weakened into a Well Marked Low pressure Area over north Tamilnadu & neighborhood.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BOB,,18-11-2021,0300,11.0,82.3,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,11.2,81.7,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1200,11.8,80.9,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,1800,12.2,80.5,1.5,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,19-11-2021,,"Crossed north Tamil Nadu & adjoining south Andhra Pradesh coasts between Puducherry & Chennai near Lat. 12.45°N and Long., 80.1°E during 2130-2230 UTC of 18th November 2021 (0300-0400 hrs IST of 19th November, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0000,12.5,80.0,-,1000,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0300,12.7,79.7,-,1002,20,3,D,,,,,,,,,,,,,,,,,,,,,
,BOB,,,0600,Weakened into a Well Marked Low pressure Area over north Tamil Nadu & neighborhood.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BOB,JAWAD,02-12-2021,1200,11.0,89.0,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,1800,12.0,87.5,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,03-12-2021,0000,13.4,86.4,2.0,1002,30,5,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0300,14.0,86.0,2.0,1002,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0600,14.5,85.6,2.5,1001,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0900,15.0,85.3,2.5,1001,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,1200,15.5,85.0,2.5,1000,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,1500,15.7,85.0,2.5,1000,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,1800,15.9,84.8,2.5,1000,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,2100,16.0,84.9,2.5,1000,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,04-12-2021,0000,16.2,84.7,2.5,1000,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0300,16.3,84.7,2.5,1000,40,8,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0600,16.4,84.7,2.5,1001,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0900,16.5,84.7,2.5,1001,35,7,CS,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,1200,16.9,84.8,2.0,1002,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,1800,17.5,85.0,2.0,1002,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,05-12-2021,0000,17.9,85.5,2.0,1002,30,6,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0300,18.7,85.7,2.0,1003,30,5,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0600,19.1,85.9,2.0,1003,30,5,DD,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,0900,19.5,86.2,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,1200,20.1,86.9,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,1800,20.6,87.3,1.5,1004,25,4,D,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,06-12-2021,0000,Weakened into a well marked low pressure area over northwest Bay of Bengal off West Bengal-Bangladesh coasts,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BOB,JAWAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
