time,lat,lon,area_km2,label_id,year,month
2018-08-01,13.950002,96.65001,54714.934,9,2018,8
2018-09-05,20.05,87.15001,51562.684,20,2018,9
2018-09-19,13.750005,84.250015,57519.59,6,2018,9
2019-06-09,11.05,69.55,122154.266,7,2019,6
2019-06-10,13.149999,68.05,151043.45,11,2019,6
2019-06-11,15.950002,69.350006,147088.38,13,2019,6
2019-06-12,17.95,69.05,134062.34,22,2019,6
2019-06-12,17.649998,92.250015,57228.08,24,2019,6
2019-06-13,19.850002,68.45001,73351.61,27,2019,6
2019-06-14,19.649998,67.350006,83130.11,21,2019,6
2019-06-15,19.55,65.95001,106488.234,13,2019,6
2019-06-28,13.649999,90.05,57408.68,4,2019,6
2019-06-29,17.750004,88.65001,116174.445,14,2019,6
2019-07-04,14.05,95.250015,88358.06,4,2019,7
2019-07-20,15.55,68.25,62508.39,21,2019,7
2019-07-21,16.55,67.850006,59826.977,28,2019,7
2019-07-22,16.350002,69.850006,95462.875,21,2019,7
2019-07-25,18.649998,85.85002,50366.723,21,2019,7
2019-08-03,18.750004,72.25,105692.3,7,2019,8
2019-08-04,19.05,73.55,73918.91,2,2019,8
2019-08-05,15.750005,74.05,54133.36,9,2019,8
2019-08-05,17.45,88.65001,138178.14,25,2019,8
2019-08-06,18.95,85.750015,84158.04,50,2019,8
2019-08-09,9.850003,95.65001,92944.2,21,2019,8
2019-08-09,22.05,70.350006,99403.33,56,2019,8
2019-08-10,14.750005,97.15001,76132.375,24,2019,8
2019-08-10,22.45,68.75,112752.87,57,2019,8
2019-08-11,23.95,65.55,80327.2,59,2019,8
2019-08-15,24.250004,75.15001,75943.31,18,2019,8
2019-08-30,10.950002,93.750015,72460.08,3,2019,8
2019-09-22,20.55,66.850006,83234.984,24,2019,9
2019-09-24,8.149999,70.850006,56780.516,6,2019,9
