Serial Number of system during year,Basin of origin,Name,Date(DD-MM-YYYY),Time (UTC),Latitude (lat),longitude  (Long),"CI No [or ""T. No""]","Estimated Central Pressure (hPa) [or ""E.C.P""]",Maximum Sustained Surface Wind (kt) ,"Pressure Drop (hPa)[or ""delta P""]",Grade (text),Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar(in degree),,,,,,,
,BOB,GAJA,12-11-2018,1500,12.9,87.5,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,12-11-2018,1800,13.2,87.5,2.5,996,45,8,CS,,,,,,,,,
,BOB,GAJA,12-11-2018,2100,13.2,87.3,2.5,996,45,8,CS,,,,,,,,,
,BOB,GAJA,13-11-2018,0000,13.2,87.2,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,13-11-2018,0300,13.3,87.1,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,13-11-2018,0600,13.5,86.6,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,13-11-2018,0900,13.4,86.4,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,13-11-2018,1200,13.4,86.0,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,13-11-2018,1500,13.2,85.8,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,13-11-2018,1800,13.2,85.6,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,13-11-2018,2100,13.1,85.5,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,14-11-2018,0000,13.1,85.3,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,14-11-2018,0300,13.0,85.1,2.5,998,40,8,CS,,,,,,,,,
,BOB,GAJA,14-11-2018,0600,12.8,84.8,2.5,996,45,10,CS,,,,,,,,,
,BOB,GAJA,14-11-2018,0900,12.6,84.6,2.5,996,45,10,CS,,,,,,,,,
,BOB,GAJA,14-11-2018,1200,12.4,84.2,2.5,996,45,10,CS,,,,,,,,,
,BOB,GAJA,14-11-2018,1500,12.2,84.2,2.5,996,45,10,CS,,,,,,,,,
,BOB,GAJA,14-11-2018,1800,12.0,83.8,2.5,996,45,10,CS,,,,,,,,,
,BOB,GAJA,14-11-2018,2100,11.8,83.4,2.5,996,45,10,CS,,,,,,,,,
,BOB,GAJA,15-11-2018,0000,11.5,83.2,2.5,996,45,10,CS,,,,,,,,,
,BOB,GAJA,15-11-2018,0300,11.3,82.6,3.0,994,50,12,SCS,,,,,,,,,
,BOB,GAJA,15-11-2018,0600,11.2,82.0,3.5,990,55,15,SCS,,,,,,,,,
,BOB,GAJA,15-11-2018,0900,11.0,81.5,3.5,989,55,16,SCS,,,,,,,,,
,BOB,GAJA,15-11-2018,1200,10.8,81.2,3.5,988,60,18,SCS,,,,,,,,,
,BOB,GAJA,15-11-2018,1500,10.6,80.7,4.0,984,65,21,VSCS,,,,,,,,,
,BOB,GAJA,15-11-2018,1800,10.5,80.3,4.0,976,70,30,VSCS,,,,,,,,,
,BOB,GAJA,15-11-2018,Crossed Tamil Nadu and Puducherry coasts between Nagapattinam& Vedaranniyam near 10.45N and 79.80E during 1900 to 2100 UTC,,,,,,,,,,,,,,,,
,BOB,GAJA,15-11-2018,,,,,,,,,,,,,,,,,
,BOB,GAJA,15-11-2018,2100,10.4,79.7,-,976,70,30,VSCS,,,,,,,,,
,BOB,GAJA,16-11-2018,0000,10.4,79.2,-,990,55,15,SCS,,,,,,,,,
,BOB,GAJA,16-11-2018,0300,10.4,78.5,-,996,45,10,CS,,,,,,,,,
,BOB,GAJA,16-11-2018,0600,10.5,77.6,-,1000,30,6,DD,,,,,,,,,
,BOB,GAJA,16-11-2018,1200,10.1,76.4,1.5,1002,25,4,D,,,,,,,,,
,BOB,GAJA,16-11-2018,1800,9.9,75.3,1.5,1002,25,4,D,,,,,,,,,
,BOB,GAJA,17-11-2018,0000,9.8,74.3,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,17-11-2018,0300,9.8,73.7,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,17-11-2018,0600,9.8,73.2,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,17-11-2018,1200,9.9,71.7,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,17-11-2018,1800,10.1,70.5,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,18-11-2018,0000,10.3,69.6,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,18-11-2018,0300,10.4,69.4,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,18-11-2018,0600,10.5,69.0,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,18-11-2018,1200,10.7,68.5,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,18-11-2018,1800,10.8,67.5,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,19-11-2018,0000,11.0,66.6,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,19-11-2018,0300,11.1,66.3,2.0,1003,30,5,DD,,,,,,,,,
,BOB,GAJA,19-11-2018,0600,11.2,65.8,1.5,1004,25,4,D,,,,,,,,,
,BOB,GAJA,19-11-2018,1200,11.2,65.0,1.5,1004,25,4,D,,,,,,,,,
,BOB,GAJA,19-11-2018,1800,Weakened into a well marked low pressure area over southwest & adjoining southeast Arabian Sea,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
14,BOB,PHETHAI,13-12-2018,0000,6.5,88.7,1.5,1004,25,3,D,,,,,,,,,
,BOB,PHETHAI,13-12-2018,0300,6.7,88.6,1.5,1004,25,3,D,,,,,,,,,
,BOB,PHETHAI,13-12-2018,0600,6.8,88.5,1.5,1003,25,4,D,,,,,,,,,
,BOB,PHETHAI,13-12-2018,1200,7.3,88.2,1.5,1003,25,4,D,,,,,,,,,
,BOB,PHETHAI,13-12-2018,1800,7.6,88.0,2.0,1002,30,5,DD,,,,,,,,,
,BOB,PHETHAI,13-12-2018,0000,8.2,87.6,2.0,1002,30,5,DD,,,,,,,,,
,BOB,PHETHAI,14-12-2018,0300,8.5,87.4,2.0,1002,30,5,DD,,,,,,,,,
,BOB,PHETHAI,14-12-2018,0600,8.5,87.4,2.0,1002,30,5,DD,,,,,,,,,
,BOB,PHETHAI,14-12-2018,1200,8.6,86.8,2.0,1002,30,5,DD,,,,,,,,,
,BOB,PHETHAI,14-12-2018,1800,8.8,86.2,2.0,1002,30,5,DD,,,,,,,,,
,BOB,PHETHAI,15-12-2018,0000,9.0,85.5,2.0,1002,30,5,DD,,,,,,,,,
,BOB,PHETHAI,15-12-2018,0300,9.2,85.2,2.0,1001,30,6,DD,,,,,,,,,
,BOB,PHETHAI,15-12-2018,0600,9.4,85.1,2.0,1001,30,6,DD,,,,,,,,,
,BOB,PHETHAI,15-12-2018,1200,10.3,84.9,2.5,1000,35,7,CS,,,,,,,,,
,BOB,PHETHAI,15-12-2018,1500,10.7,84.7,2.5,1000,35,7,CS,,,,,,,,,
,BOB,PHETHAI,15-12-2018,1800,11.0,84.6,2.5,1000,35,7,CS,,,,,,,,,
,BOB,PHETHAI,15-12-2018,2100,11.1,84.5,2.5,1000,35,7,CS,,,,,,,,,
,BOB,PHETHAI,16-12-2018,0000,11.3,84.3,3.0,998,40,8,CS,,,,,,,,,
,BOB,PHETHAI,16-12-2018,0300,11.8,84.1,3.0,996,45,10,CS,,,,,,,,,
,BOB,PHETHAI,16-12-2018,0600,12.2,83.9,3.0,996,45,10,CS,,,,,,,,,
,BOB,PHETHAI,16-12-2018,0900,12..6,83.6,3.0,994,50,13,SCS,,,,,,,,,
,BOB,PHETHAI,16-12-2018,1200,13.3,83.0,3.5,992,55,15,SCS,,,,,,,,,
,BOB,PHETHAI,16-12-2018,1500,13.8,82.7,3.5,992,55,15,SCS,,,,,,,,,
,BOB,PHETHAI,16-12-2018,1800,14.0,82.5,3.5,992,55,15,SCS,,,,,,,,,
,BOB,PHETHAI,16-12-2018,2100,14.5,82.2,3.5,992,55,15,SCS,,,,,,,,,
,BOB,PHETHAI,17-12-2018,0000,15.2,82.2,3.0,994,50,13,SCS,,,,,,,,,
,BOB,PHETHAI,17-12-2018,0300,15.8,82.2,3.0,997,45,10,CS,,,,,,,,,
,BOB,PHETHAI,17-12-2018,0600,16.2,82.2,3.0,997,45,10,CS,,,,,,,,,
,BOB,PHETHAI,17-12-2018,Crossed Andhra Pradesh coast near 16.550N and 82.250E 25 km south of Yanam and 40 km south of Kakinada during 0800 to 0900 UTC ,,,,,,,,,,,,,,,,
,BOB,PHETHAI,17-12-2018,,,,,,,,,,,,,,,,,
,BOB,PHETHAI,17-12-2018,0900,16.7,82.3,-,998,40,8,CS,,,,,,,,,
,BOB,PHETHAI,17-12-2018,1200,16.9,82.4,2.0,1001,30,6,DD,,,,,,,,,
,BOB,PHETHAI,17-12-2018,Crossed Andhra Pradesh coast close to TUNI during 1400 to 1500 UTC,,,,,,,,,,,,,,,,
,BOB,PHETHAI,17-12-2018,1500,17.3,82.5,-,1004,30,5,DD,,,,,,,,,
,BOB,PHETHAI,17-12-2018,1800,17.5,82.5,-,1006,25,3,D,,,,,,,,,
,BOB,PHETHAI,18-12-2018,0000,Weakened into a well marked low pressure area over northwest and adjoining westcentral Bay of Bengal and coastal Odisha.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
